id|namecode|tropicos_namecode|family|family_zh|family_fot|family_fot_zh|genus|genus_zh|name|fullname|plant_type|zh_name
6658|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium opacum|Athyrium opacum (D. Don) Copel.|2|{黑葉貞蕨}
6659|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium oppositipennum var. oppositipennum|Athyrium oppositipennum Hayata var. oppositipennum|2|{對生蹄蓋蕨}
7453|||Athyriaceae|蹄蓋蕨科|Athyriaceae|蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium oppositipinnum var. pubescens|Athyrium oppositipinnum Hayata var. pubescens (Tagawa) Tagawa|2|{逆羽蹄蓋蕨}
6661|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium otophorum|Athyrium otophorum (Miq.) Koidz.|2|{光蹄蓋蕨}
6662|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium palustre|Athyrium palustre Seriz.|2|{沼生蹄蓋蕨}
6663|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium pubicostatum|Athyrium pubicostatum Ching & Z.Y. Liu|2|{假軸果蹄蓋蕨}
6664|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium puncticaule|Athyrium puncticaule (Blume) T. Moore|2|{密腺蹄蓋蕨}
6665|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium sheareri|Athyrium sheareri (Baker) Ching|2|{華東安蕨}
6666|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium silvicola|Athyrium silvicola Tagawa|2|{高山蹄蓋蕨}
6667|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium strigillosum|Athyrium strigillosum (T. Moore ex E.J. Lowe) Salomon|2|{生芽蹄蓋蕨}
6668|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium tozanense|Athyrium tozanense (Hayata) Hayata|2|{蓬萊蹄蓋蕨}
6669|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium tripinnatum|Athyrium tripinnatum Tagawa|2|{三回蹄蓋蕨}
6670|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium vidalii|Athyrium vidalii (Franch. & Sav.) Nakai|2|{山蹄蓋蕨}
7478|||Athyriaceae|蹄蓋蕨科|Athyriaceae|蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium ×hohuanshanense|Athyrium ×hohuanshanense Yoshik.|2|{尖阿蹄蓋蕨}
6671|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium ×pseudocryptogrammoides|Athyrium ×pseudocryptogrammoides Yoshik.|2|{擬合歡蹄蓋蕨}
7444|||Athyriaceae|蹄蓋蕨科|Athyriaceae|蹄蓋蕨科|Athyrium|蹄蓋蕨屬|Athyrium ×purpurascens|Athyrium ×purpurascens (Tagawa) Sa.Kurata|2|{紫柄蹄蓋蕨}
7440|||Athyriaceae|蹄蓋蕨科|Athyriaceae|蹄蓋蕨科|Cornopteris|貞蕨屬|Cornopteris philippinensis|Cornopteris philippinensis M.Kato|2|{菲律賓貞蕨}
6672|||Athyriaceae|蹄蓋蕨科||蹄蓋蕨科|Deparia|假鱗毛蕨屬|Deparia allantodioides|Deparia allantodioides (Bedd.) M. Kato|2|{亞蹄蓋蕨}
